,temperatura_minima,temperatura_maxima,precipitacao_total_hr,umidade_rel_max,umidade_rel_min
,mean,mean,sum,mean,mean
diahora,,,,,
2013-01-07,22.04639463387367,23.118781442146496,1072.8000000000002,86.78479597540526,81.9368362213527
2013-01-08,22.216165626772533,23.17214974475324,1596.600000000005,89.3726602382303,85.30232558139535
2013-01-09,22.577364864864865,23.58969594594593,125.20000000000006,84.32263513513513,79.553490990991
2013-01-10,21.908823529411798,23.139289678135395,45.6,73.59100998890122,66.83129855715872
2013-01-11,19.888491620111715,21.247039106145245,14.399999999999991,71.53463687150838,64.51396648044692
2013-01-12,19.737819799777526,21.157007786429368,8.800000000000002,71.38487208008898,64.4098998887653
2013-01-13,20.827645429362846,22.176675900276976,48.2,75.0398891966759,68.50526315789473
2013-01-14,21.789259877573734,23.061713967723993,107.20000000000009,78.14858096828047,72.11129660545353
2013-01-15,21.833407572383056,23.184743875278407,272.6,79.456570155902,73.228285077951
2013-01-16,21.48828428650752,22.825930038867316,346.59999999999974,79.83620210993892,73.29094947251527
2013-01-17,22.229821627647656,23.663600891861783,196.19999999999993,79.2670011148272,72.58082497212932
2013-01-18,21.942064372918963,23.405327413984473,409.19999999999976,81.43562708102108,74.76914539400666
2013-01-19,21.26503340757235,22.65512249443208,96.80000000000007,78.91815144766147,72.22104677060133
2013-01-20,20.354288876591056,21.72368566685112,231.6,76.3868289983398,69.88046485888212
2013-01-21,20.531350750416916,21.809005002779315,190.99999999999977,73.72317954419121,67.72595886603669
2013-01-22,20.725083056478397,22.01400885935772,73.79999999999998,72.25359911406423,66.24418604651163
2013-01-23,22.034736842105264,23.33650969529088,27.79999999999998,73.14238227146815,66.89639889196675
2013-01-24,23.35228794642859,24.863337053571378,188.39999999999995,73.68080357142857,66.80357142857143
2013-01-25,22.067729306487745,23.47237136465324,235.1999999999999,80.22427293064877,73.20302013422818
2013-01-26,19.584453081621312,20.979233759022744,45.4,73.43864519711272,66.58745141588007
2013-01-27,19.957308970099668,21.329568106312266,13.799999999999992,70.84108527131782,64.53322259136213
2013-01-28,22.16314333148872,23.592916436081865,10.0,70.20863309352518,63.750415052573324
2013-01-29,23.252383592017758,24.697671840354744,7.600000000000001,70.45121951219512,64.11807095343681
