,dia,variable,value
3564,2013-08-07,s,10508
3565,2013-08-08,s,10713
3566,2013-08-09,s,10826
3567,2013-08-10,s,9305
3568,2013-08-11,s,7524
3569,2013-08-12,s,10111
3570,2013-08-13,s,10733
3571,2013-08-14,s,10984
3572,2013-08-15,s,10804
3573,2013-08-16,s,10685
3574,2013-08-17,s,9177
3575,2013-08-18,s,7667
3576,2013-08-19,s,10222
3577,2013-08-20,s,10584
3578,2013-08-21,s,10698
3579,2013-08-22,s,10795
3580,2013-08-23,s,10967
3581,2013-08-24,s,9487
3582,2013-08-25,s,8080
3583,2013-08-26,s,10726
3584,2013-08-27,s,11059
3585,2013-08-28,s,10772
3586,2013-08-29,s,10766
3587,2013-08-30,s,10634
3588,2013-08-31,s,8917
3589,2013-09-01,s,7577
3590,2013-09-02,s,10005
3591,2013-09-03,s,10592
3592,2013-09-04,s,10622
3593,2013-09-05,s,10508
3594,2013-09-06,s,10390
3595,2013-09-07,s,8173
3596,2013-09-08,s,7705
3597,2013-09-09,s,10542
3598,2013-09-10,s,10894
3599,2013-09-11,s,11102
3600,2013-09-12,s,11215
3601,2013-09-13,s,11421
3602,2013-09-14,s,9599
3603,2013-09-15,s,8013
3604,2013-09-16,s,10440
3605,2013-09-17,s,10378
3606,2013-09-18,s,10534
3607,2013-09-19,s,10525
3608,2013-09-20,s,9985
3609,2013-09-21,s,9029
3610,2013-09-22,s,7789
3611,2013-09-23,s,10173
3612,2013-09-24,s,10560
3613,2013-09-25,s,10472
3614,2013-09-26,s,10468
3615,2013-09-27,s,10391
3616,2013-09-28,s,9024
3617,2013-09-29,s,7674
3618,2013-09-30,s,10275
3619,2013-10-01,s,10543
3620,2013-10-02,s,10672
3621,2013-10-03,s,10737
3622,2013-10-04,s,10679
3623,2013-10-05,s,9065
3624,2013-10-06,s,7469
3625,2013-10-07,s,10045
3626,2013-10-08,s,10472
3627,2013-10-09,s,10652
3628,2013-10-10,s,10805
3629,2013-10-11,s,10784
3630,2013-10-12,s,8195
3631,2013-10-13,s,7576
3632,2013-10-14,s,10699
3633,2013-10-15,s,11166
3634,2013-10-16,s,11049
3635,2013-10-17,s,10971
3636,2013-10-18,s,10868
3637,2013-10-19,s,9460
3638,2013-10-20,s,7434
3639,2013-10-21,s,10531
3640,2013-10-22,s,10873
3641,2013-10-23,s,11067
3642,2013-10-24,s,11249
3643,2013-10-25,s,10933
3644,2013-10-26,s,9603
3645,2013-10-27,s,8050
3646,2013-10-28,s,10358
3647,2013-10-29,s,10656
3648,2013-10-30,s,10983
3649,2013-10-31,s,11006
3650,2013-11-01,s,10866
3651,2013-11-02,s,8388
3652,2013-11-03,s,8020
3653,2013-11-04,s,10636
3654,2013-11-05,s,11006
3655,2013-11-06,s,10970
3656,2013-11-07,s,11036
3657,2013-11-08,s,11326
3658,2013-11-09,s,9981
3659,2013-11-10,s,8603
3660,2013-11-11,s,11242
3661,2013-11-12,s,11075
3662,2013-11-13,s,11248
3663,2013-11-14,s,11201
3664,2013-11-15,s,9252
3665,2013-11-16,s,8933
3666,2013-11-17,s,7715
3667,2013-11-18,s,10905
3668,2013-11-19,s,11855
3669,2013-11-20,s,11825
3670,2013-11-21,s,11706
3671,2013-11-22,s,11127
3672,2013-11-23,s,9430
3673,2013-11-24,s,8022
3674,2013-11-25,s,11240
3675,2013-11-26,s,12074
3676,2013-11-27,s,12181
3677,2013-11-28,s,12147
3678,2013-11-29,s,11543
3679,2013-11-30,s,9870
3680,2013-12-01,s,8431
3681,2013-12-02,s,11024
3682,2013-12-03,s,12303
3683,2013-12-04,s,12365
3684,2013-12-05,s,11762
3685,2013-12-06,s,11063
3686,2013-12-07,s,9817
3687,2013-12-08,s,8615
3688,2013-12-09,s,11755
3689,2013-12-10,s,11659
3690,2013-12-11,s,11365
3691,2013-12-12,s,11364
3692,2013-12-13,s,11583
3693,2013-12-14,s,10201
3694,2013-12-15,s,9045
3695,2013-12-16,s,11881
3696,2013-12-17,s,12135
3697,2013-12-18,s,12137
3698,2013-12-19,s,12125
3699,2013-12-20,s,11846
3700,2013-12-21,s,10496
3701,2013-12-22,s,9256
3702,2013-12-23,s,10452
3703,2013-12-24,s,9844
3704,2013-12-25,s,8803
3705,2013-12-26,s,11246
3706,2013-12-27,s,11880
3707,2013-12-28,s,10656
3708,2013-12-29,s,9615
3709,2013-12-30,s,10529
3710,2013-12-31,s,9585
3711,2014-01-01,s,8452
3712,2014-01-02,s,10377
3713,2014-01-03,s,10431
3714,2014-01-04,s,9028
3715,2014-01-05,s,8201
3716,2014-01-06,s,11070
3717,2014-01-07,s,12069
3718,2014-01-08,s,12212
3719,2014-01-09,s,12376
3720,2014-01-10,s,12623
3721,2014-01-11,s,10334
3722,2014-01-12,s,8570
3723,2014-01-13,s,11275
3724,2014-01-14,s,11960
3725,2014-01-15,s,11920
3726,2014-01-16,s,12019
3727,2014-01-17,s,12523
3728,2014-01-18,s,11103
3729,2014-01-19,s,9804
3730,2014-01-20,s,13114
3731,2014-01-21,s,13750
3732,2014-01-22,s,14255
3733,2014-01-23,s,14356
3734,2014-01-24,s,14258
3735,2014-01-25,s,11116
3736,2014-01-26,s,9210
3737,2014-01-27,s,12755
3738,2014-01-28,s,13876
3739,2014-01-29,s,14291
3740,2014-01-30,s,14105
3741,2014-01-31,s,13564
3742,2014-02-01,s,11517
3743,2014-02-02,s,10347
3744,2014-02-03,s,13945
3745,2014-02-04,s,14314
3746,2014-02-05,s,14729
3747,2014-02-06,s,14991
3748,2014-02-07,s,14902
3749,2014-02-08,s,12612
3750,2014-02-09,s,10685
3751,2014-02-10,s,13935
3752,2014-02-11,s,14352
3753,2014-02-12,s,14411
3754,2014-02-13,s,13335
3755,2014-02-14,s,11899
3756,2014-02-15,s,9769
3757,2014-02-16,s,8599
3758,2014-02-17,s,11659
3759,2014-02-18,s,12445
3760,2014-02-19,s,12684
3761,2014-02-20,s,12560
3762,2014-02-21,s,12818
3763,2014-02-22,s,11055
3764,2014-02-23,s,9196
3765,2014-02-24,s,12076
3766,2014-02-25,s,12556
3767,2014-02-26,s,12461
3768,2014-02-27,s,11688
3769,2014-02-28,s,11239
3770,2014-03-01,s,9661
3771,2014-03-02,s,8482
3772,2014-03-03,s,10286
3773,2014-03-04,s,10144
3774,2014-03-05,s,11257
3775,2014-03-06,s,11765
3776,2014-03-07,s,12008
3777,2014-03-08,s,10225
3778,2014-03-09,s,8842
3779,2014-03-10,s,11857
3780,2014-03-11,s,11981
3781,2014-03-12,s,11907
3782,2014-03-13,s,11880
