,dia,variable,value
6897,2013-07-25,ne,9415
6898,2013-07-26,ne,9300
6899,2013-07-27,ne,8569
6900,2013-07-28,ne,7965
6901,2013-07-29,ne,9075
6902,2013-07-30,ne,9259
6903,2013-07-31,ne,9159
6904,2013-08-01,ne,9151
6905,2013-08-02,ne,9260
6906,2013-08-03,ne,8700
6907,2013-08-04,ne,8051
6908,2013-08-05,ne,9167
6909,2013-08-06,ne,9210
6910,2013-08-07,ne,9208
6911,2013-08-08,ne,9282
6912,2013-08-09,ne,9041
6913,2013-08-10,ne,8845
6914,2013-08-11,ne,8078
6915,2013-08-12,ne,9258
6916,2013-08-13,ne,9499
6917,2013-08-14,ne,9449
6918,2013-08-15,ne,9364
6919,2013-08-16,ne,9451
6920,2013-08-17,ne,8916
6921,2013-08-18,ne,8101
6922,2013-08-19,ne,8995
6923,2013-08-20,ne,9099
6924,2013-08-21,ne,9116
6925,2013-08-22,ne,9309
6926,2013-08-23,ne,9250
6927,2013-08-24,ne,8890
6928,2013-08-25,ne,8058
6929,2013-08-26,ne,9185
6930,2013-08-27,ne,9491
6931,2013-08-28,ne,8331
6932,2013-08-29,ne,9155
6933,2013-08-30,ne,9103
6934,2013-08-31,ne,8637
6935,2013-09-01,ne,7883
6936,2013-09-02,ne,8995
6937,2013-09-03,ne,9296
6938,2013-09-04,ne,9433
6939,2013-09-05,ne,9469
6940,2013-09-06,ne,9381
6941,2013-09-07,ne,8317
6942,2013-09-08,ne,7896
6943,2013-09-09,ne,9082
6944,2013-09-10,ne,9275
6945,2013-09-11,ne,9209
6946,2013-09-12,ne,9247
6947,2013-09-13,ne,9323
6948,2013-09-14,ne,8964
6949,2013-09-15,ne,8273
6950,2013-09-16,ne,9414
6951,2013-09-17,ne,9790
6952,2013-09-18,ne,9813
6953,2013-09-19,ne,9663
6954,2013-09-20,ne,9721
6955,2013-09-21,ne,9184
6956,2013-09-22,ne,8428
6957,2013-09-23,ne,9654
6958,2013-09-24,ne,9903
6959,2013-09-25,ne,10019
6960,2013-09-26,ne,9965
6961,2013-09-27,ne,9829
6962,2013-09-28,ne,9254
6963,2013-09-29,ne,8410
6964,2013-09-30,ne,9459
6965,2013-10-01,ne,9681
6966,2013-10-02,ne,9807
6967,2013-10-03,ne,9822
6968,2013-10-04,ne,9882
6969,2013-10-05,ne,9469
6970,2013-10-06,ne,8772
6971,2013-10-07,ne,9746
6972,2013-10-08,ne,9742
6973,2013-10-09,ne,9677
6974,2013-10-10,ne,9651
6975,2013-10-11,ne,9518
6976,2013-10-12,ne,8479
6977,2013-10-13,ne,8104
6978,2013-10-14,ne,9383
6979,2013-10-15,ne,9751
6980,2013-10-16,ne,9761
6981,2013-10-17,ne,9748
6982,2013-10-18,ne,9799
6983,2013-10-19,ne,9423
6984,2013-10-20,ne,8260
6985,2013-10-21,ne,9462
6986,2013-10-22,ne,9911
6987,2013-10-23,ne,9882
6988,2013-10-24,ne,9798
6989,2013-10-25,ne,9850
6990,2013-10-26,ne,9349
6991,2013-10-27,ne,8656
6992,2013-10-28,ne,9611
6993,2013-10-29,ne,9975
6994,2013-10-30,ne,9935
6995,2013-10-31,ne,9871
6996,2013-11-01,ne,9806
6997,2013-11-02,ne,8802
6998,2013-11-03,ne,8388
6999,2013-11-04,ne,9287
7000,2013-11-05,ne,9700
7001,2013-11-06,ne,9726
7002,2013-11-07,ne,9790
7003,2013-11-08,ne,9793
7004,2013-11-09,ne,9393
7005,2013-11-10,ne,8613
7006,2013-11-11,ne,9739
7007,2013-11-12,ne,10012
7008,2013-11-13,ne,10099
7009,2013-11-14,ne,9887
7010,2013-11-15,ne,8801
7011,2013-11-16,ne,8812
7012,2013-11-17,ne,8357
7013,2013-11-18,ne,9598
7014,2013-11-19,ne,9759
7015,2013-11-20,ne,9771
7016,2013-11-21,ne,9815
7017,2013-11-22,ne,9873
7018,2013-11-23,ne,9484
7019,2013-11-24,ne,8753
7020,2013-11-25,ne,9846
7021,2013-11-26,ne,10118
7022,2013-11-27,ne,9966
7023,2013-11-28,ne,9785
7024,2013-11-29,ne,9708
7025,2013-11-30,ne,9461
7026,2013-12-01,ne,8629
7027,2013-12-02,ne,9822
7028,2013-12-03,ne,10301
7029,2013-12-04,ne,10387
7030,2013-12-05,ne,10425
7031,2013-12-06,ne,10359
7032,2013-12-07,ne,9693
7033,2013-12-08,ne,8775
7034,2013-12-09,ne,9970
7035,2013-12-10,ne,10153
7036,2013-12-11,ne,10276
7037,2013-12-12,ne,10303
7038,2013-12-13,ne,10208
7039,2013-12-14,ne,9673
7040,2013-12-15,ne,8811
7041,2013-12-16,ne,9809
7042,2013-12-17,ne,9868
7043,2013-12-18,ne,9792
7044,2013-12-19,ne,9626
7045,2013-12-20,ne,9421
7046,2013-12-21,ne,8989
7047,2013-12-22,ne,8437
7048,2013-12-23,ne,9157
7049,2013-12-24,ne,8826
7050,2013-12-25,ne,7921
7051,2013-12-26,ne,9414
7052,2013-12-27,ne,9709
7053,2013-12-28,ne,9250
7054,2013-12-29,ne,8685
7055,2013-12-30,ne,9394
7056,2013-12-31,ne,8965
7057,2014-01-01,ne,8105
7058,2014-01-02,ne,9428
7059,2014-01-03,ne,9743
7060,2014-01-04,ne,9438
7061,2014-01-05,ne,8864
7062,2014-01-06,ne,9701
7063,2014-01-07,ne,9821
7064,2014-01-08,ne,9807
7065,2014-01-09,ne,9926
7066,2014-01-10,ne,9953
7067,2014-01-11,ne,9273
7068,2014-01-12,ne,8520
7069,2014-01-13,ne,9655
7070,2014-01-14,ne,9947
7071,2014-01-15,ne,10020
7072,2014-01-16,ne,10098
7073,2014-01-17,ne,10276
7074,2014-01-18,ne,9843
7075,2014-01-19,ne,9037
7076,2014-01-20,ne,9932
7077,2014-01-21,ne,10131
7078,2014-01-22,ne,10116
7079,2014-01-23,ne,10334
7080,2014-01-24,ne,10178
7081,2014-01-25,ne,9643
7082,2014-01-26,ne,8912
7083,2014-01-27,ne,9896
7084,2014-01-28,ne,9985
7085,2014-01-29,ne,10128
7086,2014-01-30,ne,10166
7087,2014-01-31,ne,10049
7088,2014-02-01,ne,9522
7089,2014-02-02,ne,8750
7090,2014-02-03,ne,9801
7091,2014-02-04,ne,9900
7092,2014-02-05,ne,9946
7093,2014-02-06,ne,10029
7094,2014-02-07,ne,9980
7095,2014-02-08,ne,9453
7096,2014-02-09,ne,8609
7097,2014-02-10,ne,9753
7098,2014-02-11,ne,10093
7099,2014-02-12,ne,10059
7100,2014-02-13,ne,10263
