,dia,variable,value
10230,2013-07-12,n,4961
10231,2013-07-13,n,4695
10232,2013-07-14,n,4470
10233,2013-07-15,n,4896
10234,2013-07-16,n,4875
10235,2013-07-17,n,4922
10236,2013-07-18,n,4964
10237,2013-07-19,n,4886
10238,2013-07-20,n,4662
10239,2013-07-21,n,4470
10240,2013-07-22,n,4800
10241,2013-07-23,n,4826
10242,2013-07-24,n,4773
10243,2013-07-25,n,4993
10244,2013-07-26,n,4986
10245,2013-07-27,n,4877
10246,2013-07-28,n,4583
10247,2013-07-29,n,4952
10248,2013-07-30,n,5189
10249,2013-07-31,n,5219
10250,2013-08-01,n,5112
10251,2013-08-02,n,5162
10252,2013-08-03,n,4872
10253,2013-08-04,n,4653
10254,2013-08-05,n,5188
10255,2013-08-06,n,5357
10256,2013-08-07,n,5292
10257,2013-08-08,n,5278
10258,2013-08-09,n,5344
10259,2013-08-10,n,5134
10260,2013-08-11,n,4742
10261,2013-08-12,n,5226
10262,2013-08-13,n,5294
10263,2013-08-14,n,5327
10264,2013-08-15,n,5493
10265,2013-08-16,n,5248
10266,2013-08-17,n,4985
10267,2013-08-18,n,4686
10268,2013-08-19,n,5133
10269,2013-08-20,n,5219
10270,2013-08-21,n,5331
10271,2013-08-22,n,5212
10272,2013-08-23,n,5219
10273,2013-08-24,n,5122
10274,2013-08-25,n,4920
10275,2013-08-26,n,5426
10276,2013-08-27,n,5437
10277,2013-08-28,n,5438
10278,2013-08-29,n,5337
10279,2013-08-30,n,5287
10280,2013-08-31,n,5075
10281,2013-09-01,n,4791
10282,2013-09-02,n,5303
10283,2013-09-03,n,5224
10284,2013-09-04,n,5207
10285,2013-09-05,n,5262
10286,2013-09-06,n,5152
10287,2013-09-07,n,4756
10288,2013-09-08,n,4757
10289,2013-09-09,n,5099
10290,2013-09-10,n,5304
10291,2013-09-11,n,5295
10292,2013-09-12,n,5288
10293,2013-09-13,n,5374
10294,2013-09-14,n,5218
10295,2013-09-15,n,4969
10296,2013-09-16,n,5459
10297,2013-09-17,n,5548
10298,2013-09-18,n,5548
10299,2013-09-19,n,5506
10300,2013-09-20,n,5382
10301,2013-09-21,n,4960
10302,2013-09-22,n,4761
10303,2013-09-23,n,5275
10304,2013-09-24,n,5396
10305,2013-09-25,n,5296
10306,2013-09-26,n,5297
10307,2013-09-27,n,5261
10308,2013-09-28,n,5005
10309,2013-09-29,n,4790
10310,2013-09-30,n,5177
10311,2013-10-01,n,5252
10312,2013-10-02,n,5288
10313,2013-10-03,n,5304
10314,2013-10-04,n,5315
10315,2013-10-05,n,5137
10316,2013-10-06,n,4837
10317,2013-10-07,n,5170
10318,2013-10-08,n,5254
10319,2013-10-09,n,5238
10320,2013-10-10,n,5192
10321,2013-10-11,n,5215
10322,2013-10-12,n,4874
10323,2013-10-13,n,4831
10324,2013-10-14,n,5273
10325,2013-10-15,n,5170
10326,2013-10-16,n,5156
10327,2013-10-17,n,5209
10328,2013-10-18,n,5198
10329,2013-10-19,n,4872
10330,2013-10-20,n,4329
10331,2013-10-21,n,5012
10332,2013-10-22,n,5305
10333,2013-10-23,n,5320
10334,2013-10-24,n,5254
10335,2013-10-25,n,5337
10336,2013-10-26,n,5122
10337,2013-10-27,n,4840
10338,2013-10-28,n,5117
10339,2013-10-29,n,5266
10340,2013-10-30,n,5235
10341,2013-10-31,n,5260
10342,2013-11-01,n,5099
10343,2013-11-02,n,4742
10344,2013-11-03,n,4730
10345,2013-11-04,n,4997
10346,2013-11-05,n,4904
10347,2013-11-06,n,5099
10348,2013-11-07,n,5109
10349,2013-11-08,n,5182
10350,2013-11-09,n,5088
10351,2013-11-10,n,4795
10352,2013-11-11,n,5188
10353,2013-11-12,n,5237
10354,2013-11-13,n,5259
10355,2013-11-14,n,5261
10356,2013-11-15,n,4844
10357,2013-11-16,n,4757
10358,2013-11-17,n,4654
10359,2013-11-18,n,5139
10360,2013-11-19,n,5124
10361,2013-11-20,n,4964
10362,2013-11-21,n,5212
10363,2013-11-22,n,5229
10364,2013-11-23,n,4940
10365,2013-11-24,n,4731
10366,2013-11-25,n,5158
10367,2013-11-26,n,5267
10368,2013-11-27,n,5187
10369,2013-11-28,n,5105
10370,2013-11-29,n,5132
10371,2013-11-30,n,5031
10372,2013-12-01,n,4748
10373,2013-12-02,n,5264
10374,2013-12-03,n,5407
10375,2013-12-04,n,5344
10376,2013-12-05,n,5406
10377,2013-12-06,n,5397
10378,2013-12-07,n,5172
10379,2013-12-08,n,4889
10380,2013-12-09,n,5468
10381,2013-12-10,n,5552
10382,2013-12-11,n,5537
10383,2013-12-12,n,5509
10384,2013-12-13,n,5505
10385,2013-12-14,n,5294
10386,2013-12-15,n,5050
10387,2013-12-16,n,5350
10388,2013-12-17,n,5307
10389,2013-12-18,n,5327
10390,2013-12-19,n,5253
10391,2013-12-20,n,5171
10392,2013-12-21,n,4993
10393,2013-12-22,n,4815
10394,2013-12-23,n,4890
10395,2013-12-24,n,4856
10396,2013-12-25,n,4627
10397,2013-12-26,n,5062
10398,2013-12-27,n,5143
10399,2013-12-28,n,4955
10400,2013-12-29,n,4811
10401,2013-12-30,n,5056
10402,2013-12-31,n,4861
10403,2014-01-01,n,4629
10404,2014-01-02,n,5205
10405,2014-01-03,n,5395
10406,2014-01-04,n,5256
10407,2014-01-05,n,4980
10408,2014-01-06,n,5297
10409,2014-01-07,n,5341
10410,2014-01-08,n,5355
10411,2014-01-09,n,5226
10412,2014-01-10,n,5145
10413,2014-01-11,n,5053
10414,2014-01-12,n,4796
10415,2014-01-13,n,5098
10416,2014-01-14,n,5153
10417,2014-01-15,n,5176
10418,2014-01-16,n,5198
10419,2014-01-17,n,5329
10420,2014-01-18,n,5171
10421,2014-01-19,n,4981
10422,2014-01-20,n,5363
10423,2014-01-21,n,5356
10424,2014-01-22,n,5393
10425,2014-01-23,n,5491
10426,2014-01-24,n,5255
10427,2014-01-25,n,4955
10428,2014-01-26,n,4726
10429,2014-01-27,n,5139
10430,2014-01-28,n,5203
10431,2014-01-29,n,5313
10432,2014-01-30,n,5295
10433,2014-01-31,n,5399
10434,2014-02-01,n,5077
10435,2014-02-02,n,4736
10436,2014-02-03,n,5236
10437,2014-02-04,n,5337
10438,2014-02-05,n,5303
10439,2014-02-06,n,5285
10440,2014-02-07,n,5342
10441,2014-02-08,n,5141
10442,2014-02-09,n,4918
10443,2014-02-10,n,5274
10444,2014-02-11,n,5326
10445,2014-02-12,n,5253
10446,2014-02-13,n,5268
10447,2014-02-14,n,5265
10448,2014-02-15,n,5045
10449,2014-02-16,n,4721
10450,2014-02-17,n,5291
10451,2014-02-18,n,5379
10452,2014-02-19,n,5289
10453,2014-02-20,n,5321
10454,2014-02-21,n,5317
10455,2014-02-22,n,5053
10456,2014-02-23,n,4716
10457,2014-02-24,n,5221
10458,2014-02-25,n,5267
10459,2014-02-26,n,5367
10460,2014-02-27,n,5405
10461,2014-02-28,n,5396
10462,2014-03-01,n,5212
10463,2014-03-02,n,4797
10464,2014-03-03,n,5038
10465,2014-03-04,n,4853
10466,2014-03-05,n,5083
10467,2014-03-06,n,5160
10468,2014-03-07,n,5290
10469,2014-03-08,n,5046
10470,2014-03-09,n,4832
10471,2014-03-10,n,5274
10472,2014-03-11,n,5331
10473,2014-03-12,n,5124
10474,2014-03-13,n,5268
10475,2014-03-14,n,5336
10476,2014-03-15,n,5217
10477,2014-03-16,n,5054
10478,2014-03-17,n,5426
10479,2014-03-18,n,5504
10480,2014-03-19,n,5357
10481,2014-03-20,n,5317
10482,2014-03-21,n,5394
10483,2014-03-22,n,5219
10484,2014-03-23,n,4894
10485,2014-03-24,n,5256
10486,2014-03-25,n,5285
10487,2014-03-26,n,5339
10488,2014-03-27,n,5295
10489,2014-03-28,n,5272
10490,2014-03-29,n,5144
10491,2014-03-30,n,4968
10492,2014-03-31,n,5315
10493,2014-04-01,n,5407
10494,2014-04-02,n,5243
10495,2014-04-03,n,5298
10496,2014-04-04,n,5427
10497,2014-04-05,n,5272
10498,2014-04-06,n,5067
10499,2014-04-07,n,5518
10500,2014-04-08,n,5557
10501,2014-04-09,n,5460
10502,2014-04-10,n,5317
10503,2014-04-11,n,5314
10504,2014-04-12,n,5135
10505,2014-04-13,n,4859
10506,2014-04-14,n,5272
10507,2014-04-15,n,5311
10508,2014-04-16,n,5450
10509,2014-04-17,n,5219
10510,2014-04-18,n,4819
10511,2014-04-19,n,4913
10512,2014-04-20,n,4826
10513,2014-04-21,n,4893
10514,2014-04-22,n,5266
10515,2014-04-23,n,5411
10516,2014-04-24,n,5458
10517,2014-04-25,n,5450
10518,2014-04-26,n,5103
10519,2014-04-27,n,4768
10520,2014-04-28,n,5154
10521,2014-04-29,n,5286
10522,2014-04-30,n,5275
10523,2014-05-01,n,4867
10524,2014-05-02,n,5252
10525,2014-05-03,n,5121
10526,2014-05-04,n,4802
10527,2014-05-05,n,5240
10528,2014-05-06,n,5216
10529,2014-05-07,n,5152
10530,2014-05-08,n,5266
10531,2014-05-09,n,5038
10532,2014-05-10,n,4781
10533,2014-05-11,n,4390
10534,2014-05-12,n,5061
10535,2014-05-13,n,5219
10536,2014-05-14,n,5262
10537,2014-05-15,n,5358
10538,2014-05-16,n,5291
10539,2014-05-17,n,5086
10540,2014-05-18,n,4799
10541,2014-05-19,n,5305
10542,2014-05-20,n,5384
10543,2014-05-21,n,5371
10544,2014-05-22,n,5324
10545,2014-05-23,n,5250
10546,2014-05-24,n,5010
10547,2014-05-25,n,4703
10548,2014-05-26,n,5243
10549,2014-05-27,n,5309
10550,2014-05-28,n,5305
10551,2014-05-29,n,5327
10552,2014-05-30,n,5248
10553,2014-05-31,n,4987
10554,2014-06-01,n,4797
10555,2014-06-02,n,5360
10556,2014-06-03,n,5385
